window,validation_start,validation_end,pnl,fills,fees,funding_paid,paused_refreshes,flatten_fee,start_equity
1,2025-01-01,2025-01-01,-101.25,2,1.9449,0,0,0,10000.0
2,2025-01-01,2025-01-02,-100.99,2,1.9449,0,0,0,10000.0
3,2025-01-02,2025-01-02,-102.91,2,1.9449,0,0,0,10000.0
4,2025-01-02,2025-01-08,-102.43,2,1.9449,0,0,0,10000.0
5,2025-01-08,2025-01-15,38.48,2,1.9449,0,0,0,10000.0
6,2025-01-15,2025-01-16,-96.86,2,1.9449,0,0,0,10000.0
7,2025-01-16,2025-01-21,9.22,2,1.9449,0,0,0,10000.0
8,2025-01-21,2025-02-01,296.71,2,1.9449,0,0,0,10000.0
9,2025-02-01,2025-02-02,-10.94,2,1.9449,0,0,0,10000.0
10,2025-02-02,2025-02-18,310.54,2,1.9449,0,0,0,10000.0
11,2025-02-18,2025-02-20,-105.69,2,1.9449,0,0,0,10000.0
12,2025-02-20,2025-02-23,309.16,2,1.9449,0,0,0,10000.0
13,2025-02-23,2025-02-24,-104.98,2,1.9449,0,0,0,10000.0
14,2025-02-24,2025-03-02,-103.81,2,1.9449,0,0,0,10000.0
15,2025-03-02,2025-03-03,250.05,2,1.9449,0,0,0,10000.0
16,2025-03-03,2025-03-03,-101.86,2,1.9449,0,0,0,10000.0
17,2025-03-03,2025-03-09,-104.47,2,1.9449,0,0,0,10000.0
18,2025-03-09,2025-03-16,112.94,2,1.9449,0,0,0,10000.0
19,2025-03-16,2025-03-18,-104.49,2,1.9449,0,0,0,10000.0
20,2025-03-18,2025-03-20,3.36,2,1.9449,0,0,0,10000.0
21,2025-03-20,2025-03-25,-27.26,2,1.9449,0,0,0,10000.0
22,2025-03-25,2025-03-27,-68.87,2,1.9449,0,0,0,10000.0
23,2025-03-27,2025-03-28,-103.15,2,1.9449,0,0,0,10000.0
24,2025-03-28,2025-03-29,-23.94,2,1.9449,0,0,0,10000.0
25,2025-03-29,2025-03-29,-101.96,2,1.9449,0,0,0,10000.0
26,2025-03-29,2025-04-13,10.7,2,1.9449,0,0,0,10000.0
27,2025-04-13,2025-04-13,40.54,2,1.9449,0,0,0,10000.0
28,2025-04-13,2025-04-15,-100.23,2,1.9449,0,0,0,10000.0
29,2025-04-15,2025-04-16,-100.47,2,1.9449,0,0,0,10000.0
30,2025-04-16,2025-04-21,-98.23,2,1.9449,0,0,0,10000.0
31,2025-04-21,2025-04-22,-37.88,2,1.9449,0,0,0,10000.0
32,2025-04-22,2025-04-22,-97.95,2,1.9449,0,0,0,10000.0
33,2025-04-22,2025-04-23,92.12,2,1.9449,0,0,0,10000.0
34,2025-04-23,2025-04-29,7.73,2,1.9449,0,0,0,10000.0
35,2025-04-29,2025-05-08,-102.94,2,1.9449,0,0,0,10000.0
36,2025-05-08,2025-05-29,207.62,2,1.9449,0,0,0,10000.0
37,2025-05-29,2025-05-30,529.89,2,1.9449,0,0,0,10000.0
38,2025-05-30,2025-05-31,238.65,2,1.9449,0,0,0,10000.0
39,2025-05-31,2025-06-07,152.71,2,1.9449,0,0,0,10000.0
40,2025-06-07,2025-06-10,-38.5,2,1.9449,0,0,0,10000.0
41,2025-06-10,2025-06-10,39.05,2,1.9449,0,0,0,10000.0
42,2025-06-10,2025-06-11,-108.97,2,1.9449,0,0,0,10000.0
43,2025-06-11,2025-06-13,-108.17,2,1.9449,0,0,0,10000.0
44,2025-06-13,2025-06-13,-106.44,2,1.9449,0,0,0,10000.0
45,2025-06-13,2025-06-13,-107.23,2,1.9449,0,0,0,10000.0
46,2025-06-13,2025-06-16,-103.5,2,1.9449,0,0,0,10000.0
47,2025-06-16,2025-06-26,33.74,2,1.9449,0,0,0,10000.0
48,2025-06-26,2025-06-30,65.15,2,1.9449,0,0,0,10000.0
49,2025-06-30,2025-07-01,-103.74,2,1.9449,0,0,0,10000.0
50,2025-07-01,2025-07-04,93.83,2,1.9449,0,0,0,10000.0
51,2025-07-04,2025-07-04,-103.2,2,1.9449,0,0,0,10000.0
52,2025-07-04,2025-07-07,-103.02,2,1.9449,0,0,0,10000.0
53,2025-07-07,2025-07-30,1195.15,2,1.9449,0,0,0,10000.0
54,2025-07-30,2025-08-01,297.43,2,1.9449,0,0,0,10000.0
55,2025-08-01,2025-08-02,724.21,2,1.9449,0,0,0,10000.0
56,2025-08-02,2025-08-08,-30.18,2,1.9449,0,0,0,10000.0
57,2025-08-08,2025-08-08,10.34,2,1.9449,0,0,0,10000.0
58,2025-08-08,2025-08-08,-122.9,2,1.9449,0,0,0,10000.0
59,2025-08-08,2025-08-14,-123.29,2,1.9449,0,0,0,10000.0
60,2025-08-14,2025-08-20,-66.91,2,1.9449,0,0,0,10000.0
61,2025-08-20,2025-08-22,-121.99,2,1.9449,0,0,0,10000.0
62,2025-08-22,2025-08-25,-118.22,2,1.9449,0,0,0,10000.0
63,2025-08-25,2025-08-26,208.05,2,1.9449,0,0,0,10000.0
64,2025-08-26,2025-08-28,-44.26,2,1.9449,0,0,0,10000.0
65,2025-08-28,2025-09-02,-119.01,2,1.9449,0,0,0,10000.0
66,2025-09-02,2025-09-02,9.35,2,1.9449,0,0,0,10000.0
67,2025-09-02,2025-09-03,-120.77,2,1.9449,0,0,0,10000.0
68,2025-09-03,2025-09-03,-118.74,2,1.9449,0,0,0,10000.0
69,2025-09-03,2025-09-09,-45.64,2,1.9449,0,0,0,10000.0
70,2025-09-09,2025-09-11,-70.1,2,1.9449,0,0,0,10000.0
71,2025-09-11,2025-09-22,-114.54,2,1.9449,0,0,0,10000.0
72,2025-09-22,2025-09-23,24.01,2,1.9449,0,0,0,10000.0
73,2025-09-23,2025-09-26,206.69,2,1.9449,0,0,0,10000.0
74,2025-09-26,2025-10-01,-115.7,2,1.9449,0,0,0,10000.0
75,2025-10-01,2025-10-02,-84.2,2,1.9449,0,0,0,10000.0
76,2025-10-02,2025-10-02,-107.71,2,1.9449,0,0,0,10000.0
77,2025-10-02,2025-10-07,-50.5,2,1.9449,0,0,0,10000.0
78,2025-10-07,2025-10-09,-112.43,2,1.9449,0,0,0,10000.0
79,2025-10-09,2025-10-10,-114.04,2,1.9449,0,0,0,10000.0
80,2025-10-10,2025-10-11,-117.03,2,1.9449,0,0,0,10000.0
81,2025-10-11,2025-10-13,-108.07,2,1.9449,0,0,0,10000.0
82,2025-10-13,2025-10-23,28.15,2,1.9449,0,0,0,10000.0
83,2025-10-23,2025-10-26,140.35,2,1.9449,0,0,0,10000.0
84,2025-10-26,2025-10-27,-108.09,2,1.9449,0,0,0,10000.0
85,2025-10-27,2025-10-30,-108.85,2,1.9449,0,0,0,10000.0
86,2025-10-30,2025-10-30,-110.4,2,1.9449,0,0,0,10000.0
87,2025-10-30,2025-12-04,757.68,2,1.9449,0,0,0,10000.0
88,2025-12-04,2025-12-04,247.85,2,1.9449,0,0,0,10000.0
89,2025-12-04,2025-12-07,-113.35,2,1.9449,0,0,0,10000.0
90,2025-12-07,2025-12-11,-93.29,2,1.9449,0,0,0,10000.0
91,2025-12-11,2025-12-12,-52.11,2,1.9449,0,0,0,10000.0
92,2025-12-12,2025-12-14,-40.01,2,1.9449,0,0,0,10000.0
93,2025-12-14,2026-01-01,402.47,2,1.9449,0,0,0,10000.0
94,2026-01-01,2026-01-01,125.92,2,1.9449,0,0,0,10000.0
95,2026-01-01,2026-01-01,126.99,2,1.9449,0,0,0,10000.0
